PERSON_ID,POSITION,HEIGHT,WEIGHT,PLAYER_NAME,PLAYER_ID,SEASON_ID,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,FG%,FT%,FG3%,paint_shots_per_game,paint_fg_pct,corner_3_per_game,corner_3_pct,midrange_per_game,midrange_pct,above_break_3_per_game,above_break_3_pct,avg_shot_distance,max_shot_distance,clutch_fg_pct,games_played,total_shots,AVG_SPEED_OFF,AVG_SPEED_DEF,CATCHANDSHOOTPER36,CATCHANDSHOOT3PAPER36,PASSESMADEPER36,PASSESRECEIVEDPER36,DRIVE_PTS_PCT,DRIVESPER36,DRIVE_AST_PCT,AVG_OREB_DIST,AVG_DREB_DIST,CONTESTED_SHOTS_2PT_PER36,CONTESTED_SHOTS_3PT_PER36,DEFLECTIONS_PER36,OFF_PRBALLHANDLER_FREQ,OFF_PRROLLMAN_FREQ,OFF_POSTUP_FREQ,OFF_SPOTUP_FREQ,OFF_OFFSCREEN_FREQ,OFF_CUT_FREQ,DEF_PRBALLHANDLER_FREQ,DEF_PRROLLMAN_FREQ,DEF_POSTUP_FREQ,Height_IN,PTS_per36,AST_per36,OREB_per36,DREB_per36,STL_per36,BLK_per36,TOV_per36,paint_shots_per_game_per36,corner_3_per_game_per36,midrange_per_game_per36,above_break_3_per_game_per36,Cluster
1631255,F-C,6-10,231,Karlo Matković,1631255,22025,12.930232558139537,2.046511627906977,3.395348837209302,0.5348837209302325,1.2325581395348837,0.2325581395348837,0.3953488372093023,0.813953488372093,2.3488372093023258,3.1627906976744184,0.7441860465116279,0.3488372093023256,0.6976744186046512,0.4651162790697674,1.4883720930232558,4.8604651162790695,0.6027397260273973,0.5882352941176471,0.4339622641509433,2.1904761904761907,0.7065217391304348,0.5952380952380952,0.52,0.0238095238095238,0.0,0.6666666666666666,0.3571428571428571,9.917808219178085,27.0,0.4761904761904761,42.0,146.0,4.68,4.21,3.3488372093023253,3.3488372093023253,30.69767441860465,24.55813953488372,0.25,1.6744186046511629,0.042,5.7,5.5,8.158273381294965,3.431654676258993,2.0071942446043165,0.0,0.194,0.0,0.229,0.0,0.141,0.321,0.084,0.0,82,13.532374100719421,2.071942446043165,2.266187050359712,6.53956834532374,0.9712230215827337,1.9424460431654673,1.2949640287769781,6.098663926002055,1.6572456320657756,0.066289825282631,1.8561151079136686,1
1630178,G,6-2,200,Tyrese Maxey,1630178,22025,38.63461538461539,10.076923076923077,21.48076923076923,3.3461538461538463,8.826923076923077,5.403846153846154,6.076923076923077,0.2692307692307692,3.8461538461538463,4.115384615384615,6.75,1.9615384615384608,0.7692307692307693,2.423076923076923,2.269230769230769,28.90384615384616,0.4691136974037601,0.889240506329114,0.3790849673202615,10.134615384615383,0.5521821631878557,0.7307692307692307,0.3684210526315789,2.5,0.4461538461538462,8.115384615384615,0.3815165876777251,14.538048343777977,40.0,0.4666666666666667,52.0,1117.0,4.68,3.83,3.544041450777202,3.450777202072539,62.860103626943,74.14507772020724,0.762,12.21761658031088,0.057,16.2,9.7,1.6314741035856577,1.9721115537848608,3.316733067729084,0.266,0.012,0.015,0.137,0.05,0.029,0.337,0.081,0.043,74,26.932802389248387,6.289696366351419,0.2508710801393728,3.5838725734196117,1.8277750124440013,0.7167745146839224,2.257839721254355,9.443504230960675,0.6809357889497262,2.3295171727227477,7.5619711299153805,4
1630540,G,6-2,195,Miles McBride,1630540,22025,28.0,4.485714285714286,10.342857142857143,2.914285714285714,6.942857142857143,1.0,1.2285714285714286,0.6285714285714286,1.9714285714285715,2.6,2.771428571428572,0.8571428571428571,0.1714285714285714,0.8,1.8285714285714283,12.885714285714286,0.4337016574585635,0.813953488372093,0.419753086419753,1.7142857142857142,0.4833333333333333,1.9714285714285715,0.391304347826087,1.6857142857142855,0.4406779661016949,4.971428571428572,0.4310344827586206,19.84806629834254,30.0,0.4782608695652174,35.0,362.0,4.76,4.31,6.300000000000001,6.171428571428572,47.44285714285714,46.92857142857143,0.354,4.628571428571429,0.079,15.9,11.1,3.376146788990825,2.3486238532110093,2.3119266055045875,0.143,0.0,0.0,0.385,0.029,0.0,0.349,0.065,0.043,74,16.56734693877551,3.5632653061224495,0.8081632653061225,2.5346938775510206,1.1020408163265307,0.2204081632653061,1.0285714285714287,2.2040816326530615,2.5346938775510206,2.16734693877551,6.39183673469388,6
1642272,G,6-3,195,Jared McCain,1642272,22025,17.0,2.4878048780487805,6.341463414634147,1.2439024390243902,3.2439024390243905,0.6585365853658537,0.7560975609756098,0.2439024390243902,1.8780487804878048,2.1219512195121952,1.6097560975609757,0.5853658536585366,0.048780487804878,0.8780487804878049,1.170731707317073,6.878048780487805,0.3923076923076923,0.8709677419354839,0.3834586466165413,2.58974358974359,0.4455445544554455,0.8717948717948718,0.3529411764705882,0.6666666666666666,0.2307692307692307,2.5384615384615383,0.3939393939393939,16.25,34.0,0.5416666666666666,39.0,260.0,4.68,4.25,4.68639053254438,4.473372781065089,46.8639053254438,45.372781065088766,0.469,9.37278106508876,0.084,17.2,7.7,1.6388467374810318,1.857359635811836,2.2943854324734447,0.149,0.0,0.0,0.306,0.0,0.0,0.343,0.051,0.0,75,14.565279770444763,3.4088952654232427,0.5164992826398852,3.977044476327116,1.2395982783357244,0.10329985652797695,1.8593974175035868,5.484162895927602,1.8461538461538463,1.4117647058823528,5.375565610859728,0
1630644,G,6-2,185,Mac McClung,1630644,22025,11.75,2.25,6.25,0.5,3.0,0.75,1.0,0.0,1.25,1.25,0.5,1.25,0.5,0.75,2.0,5.75,0.36,0.75,0.1666666666666666,3.25,0.5384615384615384,0.5,0.0,0.0,0.0,2.5,0.2,14.84,35.0,0.3333333333333333,4.0,25.0,4.93,4.56,7.627118644067796,7.627118644067796,53.38983050847457,58.88135593220338,0.6,11.59322033898305,0.067,0.0,8.3,5.6,2.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,17.617021276595743,1.5319148936170213,0.0,3.829787234042553,3.829787234042553,1.5319148936170213,2.297872340425532,9.957446808510639,1.5319148936170213,0.0,7.659574468085106,9
203468,G,6-3,190,CJ McCollum,203468,22025,30.11764705882353,6.941176470588236,15.254901960784316,2.588235294117647,6.784313725490196,2.294117647058824,2.9607843137254903,0.6862745098039216,2.7254901960784315,3.411764705882353,3.5686274509803924,0.7450980392156863,0.3725490196078431,1.7058823529411764,1.9411764705882355,18.764705882352946,0.455012853470437,0.7748344370860927,0.3815028901734104,5.509803921568627,0.5444839857651246,1.0196078431372548,0.3846153846153846,2.9607843137254903,0.4569536423841059,5.764705882352941,0.3809523809523809,16.167095115681235,30.0,0.4123711340206185,51.0,778.0,5.16,4.08,4.0664451827242525,3.946843853820597,44.01328903654484,56.57142857142856,0.594,11.840531561461791,0.087,14.3,9.5,2.414342629482072,2.796812749003984,1.649402390438247,0.313,0.0,0.0,0.174,0.064,0.0,0.335,0.064,0.04,75,22.429687500000004,4.265625,0.8203125,3.2578125,0.890625,0.44531249999999994,2.0390625,6.5859375,1.21875,3.5390625,6.890625,2
204456,G,6-1,190,T.J. McConnell,204456,22025,17.0,4.45,8.25,0.3,0.95,0.375,0.4,0.425,1.775,2.2,4.8,1.125,0.2,1.225,1.225,9.575,0.5393939393939394,0.9375,0.3157894736842105,4.4,0.5909090909090909,0.15,0.6666666666666666,2.9,0.5344827586206896,0.8,0.25,11.38181818181818,32.0,0.4,40.0,330.0,5.08,4.44,2.117647058823529,1.2705882352941176,80.47058823529412,87.03529411764707,0.521,20.54117647058824,0.122,9.5,9.7,1.506726457399103,1.452914798206278,4.95067264573991,0.537,0.0,0.0,0.109,0.0,0.06,0.336,0.123,0.0,73,20.27647058823529,10.16470588235294,0.9,3.7588235294117647,2.3823529411764706,0.42352941176470593,2.5941176470588236,9.31764705882353,0.3176470588235294,6.141176470588235,1.6941176470588237,0
1630183,F,6-9,185,Jaden McDaniels,1630183,22025,32.129629629629626,5.666666666666667,10.925925925925926,1.537037037037037,3.388888888888889,2.111111111111111,2.5,1.1666666666666667,3.111111111111111,4.277777777777778,2.8703703703703702,0.9629629629629628,1.0,1.7222222222222223,3.333333333333333,14.98148148148148,0.5186440677966102,0.8444444444444444,0.453551912568306,6.277777777777778,0.56047197640118,1.4259259259259258,0.4935064935064935,1.2592592592592593,0.4852941176470588,1.962962962962963,0.4245283018867924,11.68135593220339,31.0,0.4927536231884058,54.0,590.0,4.61,4.19,2.691588785046729,2.5794392523364484,37.00934579439252,36.67289719626168,0.614,7.177570093457944,0.098,10.2,7.0,4.069204152249135,2.7612456747404845,2.283737024221453,0.107,0.0,0.0,0.352,0.038,0.048,0.403,0.099,0.023,81,16.786167146974062,3.2161383285302594,1.307204610951009,3.4858789625360234,1.0789625360230546,1.1204610951008647,1.929682997118156,7.034005763688762,1.5976945244956773,1.4109510086455332,2.1994236311239197,6
203926,F,6-7,225,Doug McDermott,203926,22025,10.090909090909092,1.3636363636363635,3.4545454545454546,1.2727272727272727,3.363636363636364,0.0,0.0,0.0909090909090909,0.6363636363636364,0.7272727272727273,0.2727272727272727,0.1818181818181818,0.0909090909090909,0.5454545454545454,0.6363636363636364,4.0,0.3947368421052631,0.0,0.3783783783783783,0.0909090909090909,1.0,1.0,0.6363636363636364,0.0,0.0,2.363636363636364,0.2692307692307692,24.73684210526316,30.0,0.5,11.0,38.0,4.67,4.04,11.405940594059404,11.405940594059404,31.36633663366337,34.21782178217822,0.0,1.7821782178217822,0.0,15.8,7.8,4.543689320388349,1.7475728155339805,2.0970873786407767,0.0,0.0,0.0,0.545,0.25,0.0,0.3,0.0,0.0,79,14.270270270270268,0.9729729729729728,0.32432432432432423,2.2702702702702697,0.6486486486486485,0.32432432432432423,1.9459459459459456,0.32432432432432423,3.567567567567567,0.0,8.432432432432433,12
1631121,G,6-6,190,Bryce McGowens,1631121,22025,19.90625,2.5625,5.34375,0.90625,2.0,1.84375,2.40625,0.3125,1.625,1.9375,1.5,0.59375,0.125,0.46875,1.96875,7.875,0.47953216374269,0.7662337662337663,0.453125,3.413793103448276,0.5151515151515151,0.9655172413793104,0.4642857142857143,0.2758620689655172,0.25,1.2413793103448276,0.4444444444444444,11.707602339181287,30.0,0.6521739130434783,29.0,171.0,4.84,4.26,3.075376884422111,3.075376884422111,32.56281407035176,28.04020100502513,0.759,6.331658291457287,0.098,13.8,7.5,2.415335463258786,2.8753993610223643,2.4728434504792336,0.129,0.0,0.0,0.387,0.0,0.055,0.283,0.085,0.061,78,14.241758241758243,2.7127158555729984,0.565149136577708,2.938775510204082,1.0737833594976454,0.2260596546310832,0.847723704866562,6.173767119579928,1.746115953012505,0.498890272289287,2.245006225301792,6
1642862,F,6-7,210,Liam McNeeley,1642862,22025,12.178571428571429,1.2142857142857142,3.142857142857143,0.7857142857142857,2.071428571428572,0.8928571428571429,1.1071428571428572,0.3928571428571428,1.75,2.142857142857143,0.8214285714285714,0.1785714285714285,0.1071428571428571,0.4285714285714285,1.25,4.107142857142857,0.3863636363636363,0.8064516129032258,0.3793103448275862,1.2,0.4,0.88,0.3636363636363636,0.0,0.0,1.44,0.3888888888888889,18.125,36.0,0.5555555555555556,25.0,88.0,4.64,4.23,5.901639344262295,5.901639344262295,32.459016393442624,25.37704918032787,0.538,5.606557377049181,0.135,13.1,5.9,4.285714285714286,2.693877551020408,0.8571428571428571,0.0,0.0,0.0,0.411,0.0,0.0,0.26,0.0,0.0,79,12.140762463343108,2.4281524926686218,1.161290322580645,5.173020527859237,0.5278592375366566,0.316715542521994,1.2668621700879763,3.5472140762463344,2.6012903225806454,0.0,4.256656891495601,3
1629001,G,6-2,200,De'Anthony Melton,1629001,22025,21.785714285714285,4.178571428571429,9.857142857142858,1.3928571428571428,4.714285714285714,1.9285714285714288,2.357142857142857,0.5357142857142857,2.25,2.7857142857142856,2.357142857142857,1.5714285714285714,0.3928571428571428,1.7142857142857142,2.2142857142857144,11.678571428571429,0.4239130434782608,0.8181818181818181,0.2954545454545454,4.714285714285714,0.5454545454545454,1.4285714285714286,0.35,0.4285714285714285,0.5,3.2857142857142856,0.2717391304347826,14.66304347826087,32.0,0.4210526315789473,28.0,276.0,4.96,4.08,5.614678899082568,5.614678899082568,53.0091743119266,56.64220183486238,0.589,12.55045871559633,0.098,7.1,7.1,1.9507389162561577,2.12807881773399,4.847290640394089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,19.298360655737707,3.895081967213115,0.8852459016393442,3.7180327868852463,2.59672131147541,0.6491803278688524,2.8327868852459015,7.79016393442623,2.3606557377049184,0.7081967213114754,5.4295081967213115,9
1630241,G,6-4,205,Sam Merrill,1630241,22025,25.35483870967742,4.451612903225806,9.193548387096774,3.5161290322580645,7.451612903225806,1.1612903225806452,1.3225806451612905,0.6774193548387096,1.6129032258064515,2.290322580645161,2.2580645161290325,0.6129032258064516,0.1612903225806451,0.935483870967742,2.6129032258064515,13.580645161290322,0.4842105263157894,0.878048780487805,0.4718614718614718,1.2258064516129032,0.631578947368421,1.1935483870967742,0.5675675675675675,0.5161290322580645,0.3125,6.258064516129032,0.4536082474226804,21.729824561403507,34.0,0.3235294117647059,31.0,285.0,4.97,4.27,7.826086956521739,7.683794466403163,42.11857707509882,43.39920948616601,0.371,2.845849802371541,0.194,12.4,7.6,3.0229007633587788,1.5572519083969465,1.7404580152671756,0.046,0.086,0.0,0.351,0.055,0.046,0.314,0.077,0.087,76,19.2824427480916,3.2061068702290076,0.9618320610687022,2.2900763358778624,0.8702290076335878,0.22900763358778617,1.3282442748091603,1.7404580152671756,1.6946564885496183,0.7328244274809159,8.885496183206106,6
